"Início dos relatórios","Término dos relatórios","Nome do anúncio","Veiculação do anúncio","Configuração de atribuição",Resultados,"Indicador de resultados",Alcance,Visualizações,Frequência,"Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)",Término,"Classificação de qualidade","Classificação da taxa de engajamento","Classificação da taxa de conversão",Impressões,"CPM (custo por 1.000 impressões) (BRL)","Cliques no link","CPC (custo por clique no link) (BRL)","CTR (taxa de cliques no link)","Cliques (todos)","CTR (todos)","CPC (todos) (BRL)"
2025-04-08,2025-04-20,"PQ | 5 PEÇAS, 4 LOOKS",inactive,—,,,0,0,0,,"Usando orçamento da campanha",0,0,2025-04-19,–,–,–,0,0,,,,0,0,0
2025-04-08,2025-04-20,"PQ | CORES vs OCASIÃO",inactive,—,,,0,0,0,,"Usando orçamento da campanha",0,0,2025-04-19,–,–,–,0,0,,,,0,0,0
2025-04-08,2025-04-20,"PLL | 5 PEÇAS, 4 LOOKS",not_delivering,"Clique de 7 dias ou visualização de 1 dia",1,actions:onsite_conversion.messaging_conversation_started_7d,504,752,1.21627,6.15,"Usando orçamento da campanha",0,6.15,2025-04-19,–,–,–,613,10.032626,4,1.5375,0.652529,10,1.631321,0.615
2025-04-08,2025-04-20,"PLL | CORES vs OCASIÃO",not_delivering,"Clique de 7 dias ou visualização de 1 dia",82,actions:onsite_conversion.messaging_conversation_started_7d,12611,34248,2.230513,2.63621951,"Usando orçamento da campanha",0,216.17,2025-04-19,"Na média","Acima da média","Acima da média",28129,7.684951,170,1.271588,0.604358,714,2.538306,0.302759
2025-04-08,2025-04-20,"PE | LOOKS BÁSICOS",not_delivering,"Clique de 7 dias ou visualização de 1 dia",2,actions:onsite_conversion.messaging_conversation_started_7d,331,454,1.111782,1.655,"Usando orçamento da campanha",0,3.31,2025-04-19,–,–,–,368,8.994565,4,0.8275,1.086957,19,5.163043,0.174211
2025-04-08,2025-04-20,"PLL | TAMANHOS ESPECIAIS",inactive,"Clique de 7 dias ou visualização de 1 dia",,,107,140,1.065421,,"Usando orçamento da campanha",0,1.14,2025-04-19,–,–,–,114,10,,,,1,0.877193,1.14
2025-04-08,2025-04-20,"PE | TAMANHOS ESPECIAIS",not_delivering,"Clique de 7 dias ou visualização de 1 dia",14,actions:onsite_conversion.messaging_conversation_started_7d,3948,8825,1.883232,4.83071429,"Usando orçamento da campanha",0,67.63,2025-04-19,"Na média","Acima da média","Acima da média",7435,9.096167,35,1.932286,0.470746,276,3.712172,0.245036
2025-04-08,2025-04-20,"PQ | TAMANHOS ESPECIAIS",inactive,—,,,0,0,0,,"Usando orçamento da campanha",0,0,2025-04-19,–,–,–,0,0,,,,0,0,0
2025-04-08,2025-04-20,"PLL | LOOKS BÁSICOS",inactive,"Clique de 7 dias ou visualização de 1 dia",,,314,443,1.200637,,"Usando orçamento da campanha",0,3.62,2025-04-19,–,–,–,377,9.602122,,,,7,1.856764,0.517143
2025-04-08,2025-04-20,"PQ | LOOKS BÁSICOS",inactive,—,,,0,0,0,,"Usando orçamento da campanha",0,0,2025-04-19,–,–,–,0,0,,,,0,0,0
2025-04-08,2025-04-20,"PE | CORES vs OCASIÃO",inactive,"Clique de 7 dias ou visualização de 1 dia",,,220,329,1.131818,,"Usando orçamento da campanha",0,2.15,2025-04-19,–,–,–,249,8.634538,3,0.716667,1.204819,10,4.016064,0.215
2025-04-08,2025-04-20,"PE | 5 PEÇAS, 4 LOOKS",inactive,"Clique de 7 dias ou visualização de 1 dia",1,actions:onsite_conversion.messaging_conversation_started_7d,77,107,1.064935,1.06,"Usando orçamento da campanha",0,1.06,2025-04-19,–,–,–,82,12.926829,1,1.06,1.219512,3,3.658537,0.353333
